,0
1610,5962
1611,5964
1612,5969
1613,5971
1614,5972
1615,5973
1616,5978
1617,5982
1618,5986
1619,6006
1620,6008
1621,6009
1622,6010
1623,6011
1624,6014
1625,6016
1626,6017
1627,6022
1628,6023
1629,6028
1630,6032
1631,6034
1632,6037
1633,6038
1634,6039
1635,6042
1636,6045
1637,6048
1638,6050
1639,6056
1640,6072
1641,6078
1642,6082
1643,6085
1644,6086
1645,6087
1646,6091
1647,6093
1648,6096
1649,6098
1650,6100
1651,6105
1652,6107
1653,6113
1654,6116
1655,6120
1656,6121
1657,6126
1658,6127
1659,6128
1660,6133
1661,6135
1662,6136
1663,6137
1664,6141
1665,6142
1666,6148
1667,6151
1668,6152
1669,6155
1670,6158
1671,6159
1672,6160
1673,6165
1674,6168
1675,6169
1676,6170
1677,6172
1678,6181
1679,6182
1680,6184
1681,6187
1682,6188
1683,6191
1684,6201
1685,6202
1686,6204
1687,6205
1688,6207
1689,6209
1690,6210
1691,6218
1692,6221
1693,6223
1694,6227
1695,6228
1696,6229
1697,6235
1698,6240
1699,6241
1700,6243
1701,6244
1702,6247
1703,6248
1704,6250
1705,6255
1706,6264
1707,6265
1708,6267
1709,6268
1710,6270
1711,6271
1712,6273
1713,6274
1714,6279
1715,6280
1716,6281
1717,6285
1718,6286
1719,6287
1720,6288
1721,6289
1722,6293
1723,6300
1724,6301
1725,6305
1726,6306
1727,6311
1728,6321
1729,6326
1730,6337
1731,6341
1732,6347
1733,6349
1734,6351
1735,6353
1736,6355
1737,6356
1738,6360
1739,6363
1740,6364
1741,6365
1742,6367
1743,6368
1744,6384
1745,6385
1746,6386
1747,6390
1748,6391
1749,6395
1750,6397
1751,6405
1752,6408
1753,6418
1754,6420
1755,6426
1756,6427
1757,6428
1758,6434
1759,6436
1760,6437
1761,6441
1762,6443
1763,6444
1764,6446
1765,6450
1766,6452
1767,6458
1768,6461
1769,6462
1770,6469
1771,6472
1772,6473
1773,6484
1774,6485
1775,6486
1776,6487
1777,6494
1778,6516
1779,6517
1780,6520
1781,6522
1782,6523
1783,6526
1784,6527
1785,6538
1786,6540
1787,6546
1788,6547
1789,6548
1790,6549
1791,6553
1792,6554
1793,6555
1794,6556
1795,6562
1796,6563
1797,6564
1798,6566
1799,6568
1800,6571
1801,6574
1802,6589
1803,6592
1804,6596
1805,6598
1806,6604
1807,6606
1808,6607
1809,6611
1810,6613
1811,6614
1812,6616
1813,6617
1814,6620
1815,6621
1816,6623
1817,6626
1818,6627
1819,6632
1820,6633
1821,6635
1822,6637
1823,6642
1824,6648
1825,6651
1826,6654
1827,6655
1828,6658
1829,6659
1830,6661
1831,6663
1832,6664
1833,6666
1834,6667
1835,6668
1836,6669
1837,6672
1838,6675
1839,6676
1840,6680
1841,6681
1842,6685
1843,6686
1844,6688
1845,6689
1846,6690
1847,6691
1848,6694
1849,6699
1850,6700
1851,6702
1852,6704
1853,6706
1854,6707
1855,6709
1856,6710
1857,6711
1858,6712
1859,6714
1860,6716
1861,6718
1862,6721
1863,6728
1864,6730
1865,6731
1866,6732
1867,6733
1868,6734
1869,6736
1870,6737
1871,6738
1872,6740
1873,6741
1874,6746
1875,6748
1876,6749
1877,6754
1878,6755
1879,6758
1880,6759
1881,6761
1882,6762
1883,6764
1884,6765
1885,6766
1886,6771
1887,6774
1888,6775
1889,6777
1890,6779
1891,6780
1892,6781
1893,6782
1894,6789
1895,6790
1896,6797
1897,6798
1898,6800
1899,6801
1900,6802
1901,6803
1902,6805
1903,6809
1904,6810
1905,6816
1906,6820
1907,6823
1908,6826
1909,6828
1910,6830
1911,6831
1912,6832
1913,6833
1914,6834
1915,6835
1916,6836
1917,6837
1918,6838
1919,6839
1920,6840
1921,6844
1922,6845
1923,6848
1924,6849
1925,6851
1926,6852
1927,6853
1928,6855
1929,6856
1930,6859
1931,6862
1932,6863
1933,6864
1934,6866
1935,6869
1936,6870
1937,6871
1938,6872
1939,6874
1940,6875
1941,6880
1942,6881
1943,6883
1944,6884
1945,6885
1946,6886
1947,6888
1948,6890
1949,6892
1950,6893
1951,6894
1952,6895
1953,6896
1954,6897
1955,6900
1956,6901
1957,6903
1958,6904
1959,6906
